Model,CV_F1,Test_F1,Accuracy,Precision,Recall,Threshold
Logistic Regression (L1),0.6000,0.6222,0.8019,0.5952,0.6518,0.5458
Logistic Regression (L2),0.6003,0.6186,0.7999,0.5914,0.6483,0.5426
Elastic Net,0.6002,0.6208,0.8008,0.5927,0.6518,0.5436
Linear SVC,0.6066,0.6201,0.7942,0.5762,0.6712,0.2663
Random Forest,0.5984,0.6080,0.7638,0.5199,0.7320,0.4236
XGBoost,0.6150,0.6262,0.7951,0.5760,0.6861,0.4986
LightGBM,0.6150,0.6263,0.8037,0.5979,0.6575,0.5249
DistilBERT v1 (postText only),N/A,0.6967,0.8533,0.7215,0.6735,0.6237
DistilBERT v2 (regression+title),N/A,0.7082,0.8378,0.6439,0.7869,0.3736
DistilBERT v3 (filtered train),N/A,0.7014,0.8458,0.6803,0.7239,0.3352
Ensemble (0.9*v2 + 0.1*LightGBM),N/A,0.7109,0.8412,0.6529,0.7801,0.3859
